Localidad;Codigo postal;Direccion;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasoleo A;Precio gasoleo B;Precio gasoleo de uso maritimo;Rotulo;Tipo venta;Rem.;Horario
CARTAGENA;30202;MUELLE STA. LUCIA, S/N ;-0,975942;37,597657;;;;808;;REPSOL;Mixto;OM;L-D: 24H
CARTAGENA;30202;PASEO ALFONSO XII;-0,981722;37,596583;1,569;;1,629;;;ROYMAGA PETROELOS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
CABO DE PALOS;30370;MUELLE DE LA SAL, S/N ;-0,69872;37,630712;;;;848;;REPSOL;Mixto;OM;L-D: 24H
MAZARRON;30870;MUELLE PESQUERO, S/N ;-1,255109;37,563768;;;;808;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
PUERTO DE MAZARRON;30860;PLAZA DEL MUELLE S/N;-1,26625;37,564;1,795;;1,859;;;NINGUNO;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
SAN JAVIER;30370;PUERTO TOMAS MAESTRE S/N;-0,743194;37,747639;1,699;;1,689;;;PALUSOIL, S.L.U.;Mixto;dm;L: 08:30-18:30
ARRECIFE;35509;AV. OLOF PALME, S/N;-13,537917;28,965028;1,535;;1,475;;;NO HAY;Suministro a barcos deportivos o de recreo;dm;L: 08:15-19:30
MOGAN;35140;DIQUE SUR. PUERTO DE MOGAN;-15,764056;27,815861;1,301;;1,307;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-13:00 y 15:00-17:50
SAN BARTOLOME TIRAJANA;35106;CARRETERA GC-500 S/N (ANTIGUA CTRA. C-812) URBANIZACION PASITO BLANCO (VARADERO);-15,621667;27,746944;1,349;;1,344;;;DISA;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-18:00
YAIZA;35570;C/ EL BERRUGO, 2;-13,816639;28,857111;1,393;;1,393;;;MARINA RUBICON;Suministro a barcos deportivos o de recreo;dm;L-D: 07:30-19:30
PUERTO CALERO;35570;LOS PANTALANES S/N;-13,705333;28,915833;1,41;;1,377;;;MARINA PUERTO CALERO;Suministro a barcos deportivos o de recreo;dm;L-D: 08:15-19:45
BAIONA;36300;AVDA. MONTE REAL, S/N;-8,845194;42,11875;1,409;;1,446;;;NO HAY;Suministro a barcos deportivos o de recreo;dm;L: 09:00-19:30
BAIONA;36300;RECINTO DEL PARADOR NACIONAL;-8,848459;42,120681;1,673;;1,723;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-22:00
BUEU;36930;MUELLE PESQUERO, S/N ;-8,785126;42,329376;;;1,677;807;;REPSOL;Mixto;OM;L-D: 24H
CAMBADOS;36630;MUELLE DE TRAGOVE, S/N ;-8,828182;42,518542;;;;811;;REPSOL;Mixto;OM;L-D: 24H
CANGAS;36940;PUERTO DE CANGAS, S/N;42,260398;-8,784862;1,679;;1,699;850;;COMBUSTIBLES PUERTO DE CANGAS;Mixto;dm;"L-V: 08:30-14:00 y 16:30-19:30; S: 10:00-14:00"
ISLA DE AROSA;36626;MUELLE DO XUFRE S/N;-8,86825;42,565556;1,769;;1,679;900;;GALP;Mixto;dm;L: 08:00-20:00
MOANA;36950;MUELLE PESQUERO, S/N ;-8,735126;42,274931;;;;797;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
SANXENXO;36960;AVENIDA AUGUSTO GONZALEZ BESADA, S/N;-8,804015;42,395292;1,89;;1,89;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 10:00-13:30 y 16:00-19:00
PORTONOVO;36970;MUELLE COMERCIAL, S/N ;-8,817778;42,395833;;;1,677;811;;REPSOL;Mixto;OM;L-D: 24H
VIGO;36202;AVDA. DE BEIRAMAR, 61;-8,617904;42,296598;;;;;724;REPSOL;Suministro a pesqueros;OM;L-D: 24H
VIGO;36208;MUELLE DE REPARACIONES DE BOUZAS S/N;-8,743111;42,230861;1,9;;1,78;;;MARINA DAVILA;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-22:00
VIGO;36207;BAJADA A LA LAGOA S/N;-8,707083;42,256194;2,05;;2;;;REPSOL;Mixto;dm;L: 09:00-20:00
VILAXOAN;36611;PUERTO DE VILAXOAN, S/N.;-8,791333;42,589472;1,699;;1,579;1032;;E.S. PORTO DE VILAXOAN;Mixto;dm;"L-V: 08:00-13:30 y 15:00-19:30; S: 08:00-13:00 y 15:00-18:00"
VILANOVA DE AROUSA;36620;PUERTO DE VILANOVA S/N;-8,834611;42,564667;1,619;;1,579;1032;;CARBURANTES PORTO DE VILANOVA;Mixto;dm;"L-V: 08:00-15:00; S: 09:00-14:00"
ADEJE;38670;PUERTO DEPORTIVO PUERTO COLON, EDF.CAPITANIA 1  PLANTA;-16,737889;28,079333;1,373;;1,357;;;DISA;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-17:45
ARONA;38649;MUELLE TRANSVERSAL DEL PUERTO DE LOS CRISTIANOS;-16,718694;28,047917;1,361;;1,281;;;NAC MARINE FUEL ;Mixto;dm;L-S: 08:00-14:30
ARONA;38627;PUERTO DEPORTIVO PESQUERO DE LAS GALLETAS TORRE DE CONTROL 2  PLANTA;-16,661111;28,007083;1,389;;1,355;;;MARINA DEL SUR;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-19:00
SAN SEBASTIAN DE LA GOMERA;38800;PUERTO DEPORTIVO, S/N;-17,107028;28,089583;1,645;;1,525;;;DISA;Mixto;dm;L-D: 08:00-18:00
SANTA CRUZ DE LA PALMA;38700;DARSENA DE EMBARCACIONES MENORES PUERTO SANTA CRUZ DE LA PALMA;-17,767333;28,679083;1,542;;1,545;;;SIN ROTULO;Suministro a barcos deportivos o de recreo;dm;"L-S: 08:00-20:00; D: 08:00-15:30"
TAZACORTE;38770;PUERTO DE TAZACORTE S/N;-17,933194;28,642722;1,53;;1,53;;;PUERTO TAZACORTE;Suministro a barcos deportivos o de recreo;dm;L-D: 08:30-19:30
AMETLLA DE MAR (L');43860;PORT CALAFAT;0,850278;40,927333;1,59;;1,519;;;ALAS - PORT CALAFAT;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
AMETLLA DE MAR (L');43860;MOLL DE PONENT S/N APTDO CORREOS 104;0,802111;40,879389;;1,865;1,801;;;NO FIGURA;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-13:00 y 15:00-19:00
AMPOLLA (L');43895;PORT ESPORTIU;0,710667;40,809472;1,728;;1,7;;;PETROCAT;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-13:00 y 15:00-18:00
SEGUR DE CALAFELL;43882;P  MARITIMO S/N;1,607556;41,186083;1,907;;1,807;;;PORT SEGUR CALAFELL, S.A.;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-20:00
CAMBRILS;43850;PUERTO PESQUERO, S/N ;1,061881;41,06275;;;;793;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
DELTEBRE;43580;ML PUERTO DELTEBRE;0,843167;40,717361;1,549;;1,507;;880;CARBURANTS DEL MONTSIA;Mixto;dm;L-D: 24H
RODA DE BARA;43883;EDIFICIO CAPITANIA,S/N;1,4855;41,167556;1,728;;1,7;;;PETROCAT;Suministro a barcos deportivos o de recreo;OM;L-D: 24H
LA RAPITA;43540;PUERTO, S/N ;0,596881;40,613861;;;;793;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
TARRAGONA;43005;MUELLE DE REUS S/N;1,242194;41,106917;;;;;789;VILALTA CORPORACION S.A.;Suministro a pesqueros;dm;L-D: 24H
HOSPITALET DE L'INFANT;43890;MUELLE DR. CAPELLA S/N PUERTO DEPORTIVO;0,927694;40,988639;;1,716;1,652;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-20:00
MASOS DE COMA-RUGA (ELS);43880;PASSEIG MARITIM, S/N;1,525444;41,177333;1,728;;1,7;;;LIBRE;Suministro a barcos deportivos o de recreo;dm;L-D: 07:00-20:30
OLIVA;46780;ALFONSO EL MAGNANIMO, 41;-0,094694;38,931639;1,575;;1,568;;;BP OIL;Suministro a barcos deportivos o de recreo;dm;L: 08:00-19:00
POBLA DE FARNALS (LA);46137;PLAZA CORTES VALENCIANAS S/N;-0,284167;39,560333;1,835;;1,81;;;POBLA MARINA;Suministro a barcos deportivos o de recreo;dm;L-D: 07:00-21:00
VALENCIA;46024;DIQUE NORTE, BOCANA DARSENA INTERIOR ;-0,312278;39,461306;1,749;;1,749;1229;;REPSOL ;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-18:00
VALENCIA;46024;CAMINO DE CANAL, 91 - CLUB NAUTICO DE VALENCIA;-0,330722;39,429917;1,789;;1,789;;1279;EXCLUSIVAS BAYMAR, S.A.;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
